"Site" "ss_data" "size"
"152" "Dilumacad" "0.000187216856377016" 3.1
"153" "Dilumacad" "0.000136912518314283" 3.2
"154" "Dilumacad" "0.000102705878335999" 3.3
"155" "Dilumacad" "7.90081278312107e-05" 3.4
"156" "Dilumacad" "6.23740387479096e-05" 3.5
"157" "Pinasil" "0" -12
"158" "Pinasil" "0" -11.9
"159" "Pinasil" "0" -11.8
"160" "Pinasil" "0" -11.7
"161" "Pinasil" "0" -11.6
"162" "Pinasil" "0" -11.5
"163" "Pinasil" "0" -11.4
"164" "Pinasil" "0" -11.3
"165" "Pinasil" "0" -11.2
"166" "Pinasil" "0" -11.1
"167" "Pinasil" "0" -11
"168" "Pinasil" "0" -10.9
"169" "Pinasil" "0" -10.8
"170" "Pinasil" "0" -10.7
"171" "Pinasil" "0" -10.6
"172" "Pinasil" "0" -10.5
"173" "Pinasil" "0" -10.4
"174" "Pinasil" "0" -10.3
"175" "Pinasil" "0" -10.2
"176" "Pinasil" "0" -10.1
"177" "Pinasil" "0" -10
"178" "Pinasil" "0" -9.9
"179" "Pinasil" "0" -9.8
"180" "Pinasil" "0" -9.7
"181" "Pinasil" "0" -9.6
"182" "Pinasil" "0" -9.5
"183" "Pinasil" "0" -9.4
"184" "Pinasil" "0" -9.3
"185" "Pinasil" "0" -9.2
"186" "Pinasil" "0" -9.1
"187" "Pinasil" "0" -9
"188" "Pinasil" "0" -8.9
"189" "Pinasil" "0" -8.8
"190" "Pinasil" "0" -8.7
"191" "Pinasil" "0" -8.6
"192" "Pinasil" "0" -8.5
"193" "Pinasil" "0" -8.4
"194" "Pinasil" "0" -8.3
"195" "Pinasil" "0" -8.2
"196" "Pinasil" "0" -8.1
"197" "Pinasil" "0" -8
"198" "Pinasil" "0" -7.9
"199" "Pinasil" "0" -7.8
"200" "Pinasil" "0" -7.7
"201" "Pinasil" "0" -7.6
"202" "Pinasil" "0" -7.5
"203" "Pinasil" "0" -7.4
"204" "Pinasil" "0" -7.3
"205" "Pinasil" "0" -7.2
"206" "Pinasil" "0" -7.1
"207" "Pinasil" "0" -7
"208" "Pinasil" "0" -6.9
"209" "Pinasil" "0" -6.8
"210" "Pinasil" "0" -6.7
"211" "Pinasil" "0" -6.6
"212" "Pinasil" "0" -6.5
"213" "Pinasil" "0" -6.4
"214" "Pinasil" "0" -6.3
"215" "Pinasil" "0" -6.2
"216" "Pinasil" "0" -6.1
"217" "Pinasil" "0" -6
"218" "Pinasil" "0" -5.9
"219" "Pinasil" "0" -5.8
"220" "Pinasil" "0" -5.7
"221" "Pinasil" "0" -5.6
"222" "Pinasil" "0" -5.5
"223" "Pinasil" "0" -5.4
"224" "Pinasil" "0" -5.3
"225" "Pinasil" "0" -5.2
"226" "Pinasil" "0" -5.1
"227" "Pinasil" "0" -5
"228" "Pinasil" "0" -4.9
"229" "Pinasil" "0" -4.8
"230" "Pinasil" "0" -4.7
"231" "Pinasil" "0" -4.6
"232" "Pinasil" "0" -4.5
"233" "Pinasil" "0" -4.4
"234" "Pinasil" "0" -4.3
"235" "Pinasil" "0" -4.2
"236" "Pinasil" "0" -4.1
"237" "Pinasil" "0" -4
"238" "Pinasil" "0" -3.9
