"Site" "ss_data" "size"
"145" "Dilumacad" "1.40793019819438e-05" 2.4
"146" "Dilumacad" "1.09979574606884e-05" 2.5
"147" "Dilumacad" "8.7869741477247e-06" 2.6
"148" "Dilumacad" "7.18500425540433e-06" 2.7
"149" "Dilumacad" "6.01533167528461e-06" 2.8
"150" "Dilumacad" "5.15766719694456e-06" 2.9
"151" "Dilumacad" "4.52980820872634e-06" 3
"152" "Dilumacad" "4.07571787127218e-06" 3.1
"153" "Dilumacad" "3.75786849012529e-06" 3.2
"154" "Dilumacad" "3.55254468626683e-06" 3.3
"155" "Dilumacad" "3.44741984620961e-06" 3.4
"156" "Dilumacad" "3.44128790453279e-06" 3.5
"157" "Pinasil" "0" -12
"158" "Pinasil" "0" -11.9
"159" "Pinasil" "0" -11.8
"160" "Pinasil" "0" -11.7
"161" "Pinasil" "0" -11.6
"162" "Pinasil" "0" -11.5
"163" "Pinasil" "0" -11.4
"164" "Pinasil" "0" -11.3
"165" "Pinasil" "0" -11.2
"166" "Pinasil" "0" -11.1
"167" "Pinasil" "0" -11
"168" "Pinasil" "0" -10.9
"169" "Pinasil" "0" -10.8
"170" "Pinasil" "0" -10.7
"171" "Pinasil" "0" -10.6
"172" "Pinasil" "0" -10.5
"173" "Pinasil" "0" -10.4
"174" "Pinasil" "0" -10.3
"175" "Pinasil" "0" -10.2
"176" "Pinasil" "0" -10.1
"177" "Pinasil" "0" -10
"178" "Pinasil" "0" -9.9
"179" "Pinasil" "0" -9.8
"180" "Pinasil" "0" -9.7
"181" "Pinasil" "0" -9.6
"182" "Pinasil" "0" -9.5
"183" "Pinasil" "0" -9.4
"184" "Pinasil" "0" -9.3
"185" "Pinasil" "0" -9.2
"186" "Pinasil" "0" -9.1
"187" "Pinasil" "0" -9
"188" "Pinasil" "0" -8.9
"189" "Pinasil" "0" -8.8
"190" "Pinasil" "0" -8.7
"191" "Pinasil" "0" -8.6
"192" "Pinasil" "0" -8.5
"193" "Pinasil" "0" -8.4
"194" "Pinasil" "0" -8.3
"195" "Pinasil" "0" -8.2
"196" "Pinasil" "0" -8.1
"197" "Pinasil" "0" -8
"198" "Pinasil" "0" -7.9
"199" "Pinasil" "0" -7.8
"200" "Pinasil" "0" -7.7
"201" "Pinasil" "0" -7.6
"202" "Pinasil" "0" -7.5
"203" "Pinasil" "0" -7.4
"204" "Pinasil" "0" -7.3
"205" "Pinasil" "0" -7.2
"206" "Pinasil" "0" -7.1
"207" "Pinasil" "0" -7
"208" "Pinasil" "0" -6.9
"209" "Pinasil" "0" -6.8
"210" "Pinasil" "0" -6.7
"211" "Pinasil" "0" -6.6
"212" "Pinasil" "0" -6.5
"213" "Pinasil" "0" -6.4
"214" "Pinasil" "0" -6.3
"215" "Pinasil" "0" -6.2
"216" "Pinasil" "0" -6.1
"217" "Pinasil" "0" -6
"218" "Pinasil" "0" -5.9
"219" "Pinasil" "0" -5.8
"220" "Pinasil" "0" -5.7
"221" "Pinasil" "0" -5.6
"222" "Pinasil" "0" -5.5
"223" "Pinasil" "0" -5.4
"224" "Pinasil" "0" -5.3
"225" "Pinasil" "0" -5.2
"226" "Pinasil" "0" -5.1
"227" "Pinasil" "0" -5
"228" "Pinasil" "0" -4.9
"229" "Pinasil" "0" -4.8
"230" "Pinasil" "0" -4.7
"231" "Pinasil" "0" -4.6
"232" "Pinasil" "0" -4.5
"233" "Pinasil" "0" -4.4
"234" "Pinasil" "0" -4.3
"235" "Pinasil" "0" -4.2
"236" "Pinasil" "0" -4.1
"237" "Pinasil" "3467.36850452532" -4
"238" "Pinasil" "3302.65926731984" -3.9
"239" "Pinasil" "3146.62906809026" -3.8
"240" "Pinasil" "2997.58517412341" -3.7
"241" "Pinasil" "2853.66911347447" -3.6
"242" "Pinasil" "2712.86628233956" -3.5
"243" "Pinasil" "2573.03871974451" -3.4
