"Site" "ss_data" "size"
"129" "Dilumacad" "2.99223089779783" 0.800000000000001
"130" "Dilumacad" "2.82484812342483" 0.9
"131" "Dilumacad" "2.66682859477509" 1
"132" "Dilumacad" "2.51764854008773" 1.1
"133" "Dilumacad" "2.3768134869352" 1.2
"134" "Dilumacad" "2.24385662324425" 1.3
"135" "Dilumacad" "2.11833724999994" 1.4
"136" "Dilumacad" "1.99983932050405" 1.5
"137" "Dilumacad" "1.8879700613461" 1.6
"138" "Dilumacad" "1.78235867051599" 1.7
"139" "Dilumacad" "1.68265508834314" 1.8
"140" "Dilumacad" "1.58852883718819" 1.9
"141" "Dilumacad" "1.49966792604134" 2
"142" "Dilumacad" "1.41577781639648" 2.1
"143" "Dilumacad" "1.33658044597343" 2.2
"144" "Dilumacad" "1.26181330705231" 2.3
"145" "Dilumacad" "1.19122857636504" 2.4
"146" "Dilumacad" "1.12459229366002" 2.5
"147" "Dilumacad" "1.06168358621707" 2.6
"148" "Dilumacad" "1.00229393674247" 2.7
"149" "Dilumacad" "0.946226492217165" 2.8
"150" "Dilumacad" "0.893295411407492" 2.9
"151" "Dilumacad" "0.843325248875551" 3
"152" "Dilumacad" "0.796150373447497" 3.1
"153" "Dilumacad" "0.751614419212209" 3.2
"154" "Dilumacad" "0.709569767230613" 3.3
"155" "Dilumacad" "0.669877056237732" 3.4
"156" "Dilumacad" "0.632404720715628" 3.5
"157" "Pinasil" "6870.08174209213" -12
"158" "Pinasil" "6485.77538959542" -11.9
"159" "Pinasil" "6122.96679769512" -11.8
"160" "Pinasil" "5780.45340050169" -11.7
"161" "Pinasil" "5457.09990260756" -11.6
"162" "Pinasil" "5151.83451603552" -11.5
"163" "Pinasil" "4863.64540768855" -11.4
"164" "Pinasil" "4591.57734552646" -11.3
"165" "Pinasil" "4334.72853235232" -11.2
"166" "Pinasil" "4092.24761671412" -11.1
"167" "Pinasil" "3863.33087101411" -11
"168" "Pinasil" "3647.21952747204" -10.9
"169" "Pinasil" "3443.19726311238" -10.8
"170" "Pinasil" "3250.58782543918" -10.7
"171" "Pinasil" "3068.75279092846" -10.6
"172" "Pinasil" "2897.0894489088" -10.5
"173" "Pinasil" "2735.02880381554" -10.4
"174" "Pinasil" "2582.03368919734" -10.3
"175" "Pinasil" "2437.59698722341" -10.2
"176" "Pinasil" "2301.23994779007" -10.1
