"Site" "ss_data" "size"
"129" "Dilumacad" "0.535346455672379" 0.800000000000001
"130" "Dilumacad" "0.505399644058629" 0.9
"131" "Dilumacad" "0.477128030844584" 1
"132" "Dilumacad" "0.450437906899714" 1.1
"133" "Dilumacad" "0.425240805100141" 1.2
"134" "Dilumacad" "0.401453207095371" 1.3
"135" "Dilumacad" "0.37899626647825" 1.4
"136" "Dilumacad" "0.35779554744055" 1.5
"137" "Dilumacad" "0.337780778047927" 1.6
"138" "Dilumacad" "0.318885617316468" 1.7
"139" "Dilumacad" "0.301047435318762" 1.8
"140" "Dilumacad" "0.28420710559066" 1.9
"141" "Dilumacad" "0.268308809150605" 2
"142" "Dilumacad" "0.253299849481952" 2.1
"143" "Dilumacad" "0.239130477865025" 2.2
"144" "Dilumacad" "0.225753728479927" 2.3
"145" "Dilumacad" "0.213125262733574" 2.4
"146" "Dilumacad" "0.201203222294926" 2.5
"147" "Dilumacad" "0.189948090351299" 2.6
"148" "Dilumacad" "0.179322560625885" 2.7
"149" "Dilumacad" "0.169291413722309" 2.8
"150" "Dilumacad" "0.159821400386365" 2.9
"151" "Dilumacad" "0.150881131297996" 3
"152" "Dilumacad" "0.142440973028197" 3.1
"153" "Dilumacad" "0.134472949816019" 3.2
"154" "Dilumacad" "0.126950650840064" 3.3
"155" "Dilumacad" "0.119849142677139" 3.4
"156" "Dilumacad" "0.113144886657897" 3.5
"157" "Pinasil" "491.612038986252" -12
"158" "Pinasil" "464.11169231807" -11.9
"159" "Pinasil" "438.14969094434" -11.8
"160" "Pinasil" "413.639981177321" -11.7
"161" "Pinasil" "390.501323097154" -11.6
"162" "Pinasil" "368.657021273912" -11.5
"163" "Pinasil" "348.034670552807" -11.4
"164" "Pinasil" "328.565916059966" -11.3
"165" "Pinasil" "310.186226633259" -11.2
"166" "Pinasil" "292.834680927218" -11.1
"167" "Pinasil" "276.453765483058" -11
"168" "Pinasil" "260.989184094479" -10.9
"169" "Pinasil" "246.389677837382" -10.8
"170" "Pinasil" "232.606855166966" -10.7
"171" "Pinasil" "219.595031519039" -10.6
"172" "Pinasil" "207.311077883898" -10.5
"173" "Pinasil" "195.714277850852" -10.4
"174" "Pinasil" "184.766192649542" -10.3
"175" "Pinasil" "174.430533740741" -10.2
"176" "Pinasil" "164.673042534305" -10.1
"177" "Pinasil" "155.461376835605" -10
"178" "Pinasil" "146.765003644037" -9.9
"179" "Pinasil" "138.555097948297" -9.8
"180" "Pinasil" "130.804447182951" -9.7
"181" "Pinasil" "123.487361029633" -9.6
"182" "Pinasil" "116.579586263871" -9.5
"183" "Pinasil" "110.05822636532" -9.4
"184" "Pinasil" "103.901665624919" -9.3
"185" "Pinasil" "98.089497497428" -9.2
"186" "Pinasil" "92.6024569618678" -9.1
"187" "Pinasil" "87.4223566656504" -9
"188" "Pinasil" "82.5320266407544" -8.9
"189" "Pinasil" "77.9152573921238" -8.8
"190" "Pinasil" "73.5567461696516" -8.7
"191" "Pinasil" "69.4420462456627" -8.6
"192" "Pinasil" "65.5575190297678" -8.5
"193" "Pinasil" "61.8902888623737" -8.4
"194" "Pinasil" "58.4282003370015" -8.3
"195" "Pinasil" "55.1597780099591" -8.2
"196" "Pinasil" "52.074188363819" -8.1
"197" "Pinasil" "49.1612038986252" -8
"198" "Pinasil" "46.411169231807" -7.9
"199" "Pinasil" "43.8149690944341" -7.8
"200" "Pinasil" "41.3639981177321" -7.7
"201" "Pinasil" "39.0501323097154" -7.6
"202" "Pinasil" "36.8657021273912" -7.5
"203" "Pinasil" "34.8034670552807" -7.4
"204" "Pinasil" "32.8565916059966" -7.3
"205" "Pinasil" "31.0186226633259" -7.2
"206" "Pinasil" "29.2834680927218" -7.1
"207" "Pinasil" "27.6453765483058" -7
"208" "Pinasil" "26.0989184094479" -6.9
"209" "Pinasil" "24.6389677837382" -6.8
"210" "Pinasil" "23.2606855166965" -6.7
"211" "Pinasil" "21.9595031519038" -6.6
"212" "Pinasil" "20.7311077883898" -6.5
"213" "Pinasil" "19.5714277850852" -6.4
"214" "Pinasil" "18.4766192649542" -6.3
"215" "Pinasil" "17.4430533740741" -6.2
"216" "Pinasil" "16.4673042534305" -6.1
"217" "Pinasil" "15.5461376835605" -6
"218" "Pinasil" "14.6765003644037" -5.9
"219" "Pinasil" "13.8555097948297" -5.8
"220" "Pinasil" "13.0804447182951" -5.7
"221" "Pinasil" "12.3487361029633" -5.6
"222" "Pinasil" "11.6579586263871" -5.5
"223" "Pinasil" "11.005822636532" -5.4
"224" "Pinasil" "10.3901665624919" -5.3
"225" "Pinasil" "9.8089497497428" -5.2
"226" "Pinasil" "9.26024569618678" -5.1
"227" "Pinasil" "8.74223566656504" -5
"228" "Pinasil" "8.25320266407544" -4.9
"229" "Pinasil" "7.79152573921239" -4.8
"230" "Pinasil" "7.35567461696516" -4.7
"231" "Pinasil" "6.94420462456626" -4.6
"232" "Pinasil" "6.55575190297678" -4.5
"233" "Pinasil" "6.18902888623737" -4.4
"234" "Pinasil" "5.84282003370015" -4.3
"235" "Pinasil" "5.51597780099591" -4.2
"236" "Pinasil" "5.2074188363819" -4.1
"237" "Pinasil" "4.91612038986252" -4
"238" "Pinasil" "4.64111692318071" -3.9
"239" "Pinasil" "4.3814969094434" -3.8
"240" "Pinasil" "4.1363998117732" -3.7
"241" "Pinasil" "3.90501323097154" -3.6
"242" "Pinasil" "3.68657021273912" -3.5
"243" "Pinasil" "3.48034670552808" -3.4
"244" "Pinasil" "3.28565916059966" -3.3
"245" "Pinasil" "3.10186226633259" -3.2
"246" "Pinasil" "2.92834680927218" -3.1
"247" "Pinasil" "2.76453765483058" -3
"248" "Pinasil" "2.60989184094479" -2.9
"249" "Pinasil" "2.46389677837382" -2.8
"250" "Pinasil" "2.32606855166965" -2.7
"251" "Pinasil" "2.19595031519038" -2.6
"252" "Pinasil" "2.07311077883898" -2.5
"253" "Pinasil" "1.95714277850852" -2.4
"254" "Pinasil" "1.84766192649542" -2.3
"255" "Pinasil" "1.74430533740741" -2.2
"256" "Pinasil" "1.64673042534305" -2.1
"257" "Pinasil" "1.55461376835605" -2
"258" "Pinasil" "1.46765003644037" -1.9
"259" "Pinasil" "1.38555097948297" -1.8
"260" "Pinasil" "1.30804447182951" -1.7
"261" "Pinasil" "1.23487361029632" -1.6
"262" "Pinasil" "1.16579586263871" -1.5
"263" "Pinasil" "1.1005822636532" -1.4
"264" "Pinasil" "1.03901665624919" -1.3
"265" "Pinasil" "0.980894974974279" -1.2
"266" "Pinasil" "0.926024569618677" -1.1
"267" "Pinasil" "0.874223566656504" -1
"268" "Pinasil" "0.825320266407544" -0.899999999999999
"269" "Pinasil" "0.779152573921238" -0.799999999999999
"270" "Pinasil" "0.735567461696517" -0.699999999999999
"271" "Pinasil" "0.694420462456626" -0.6
"272" "Pinasil" "0.655575190297678" -0.5
"273" "Pinasil" "0.618902888623737" -0.399999999999999
"274" "Pinasil" "0.584282003370014" -0.299999999999999
"275" "Pinasil" "0.551597780099591" -0.199999999999999
"276" "Pinasil" "0.52074188363819" -0.0999999999999996
"277" "Pinasil" "0.491612038986252" 0
"278" "Pinasil" "0.46411169231807" 0.100000000000001
"279" "Pinasil" "0.43814969094434" 0.200000000000001
"280" "Pinasil" "0.41363998117732" 0.300000000000001
"281" "Pinasil" "0.390501323097154" 0.4
"282" "Pinasil" "0.368657021273912" 0.5
"283" "Pinasil" "0.348034670552807" 0.600000000000001
"284" "Pinasil" "0.328565916059966" 0.700000000000001
"285" "Pinasil" "0.310186226633259" 0.800000000000001
"286" "Pinasil" "0.292834680927218" 0.9
"287" "Pinasil" "0.276453765483059" 1
"288" "Pinasil" "0.260989184094479" 1.1
"289" "Pinasil" "0.246389677837382" 1.2
"290" "Pinasil" "0.232606855166965" 1.3
"291" "Pinasil" "0.219595031519038" 1.4
"292" "Pinasil" "0.207311077883898" 1.5
"293" "Pinasil" "0.195714277850852" 1.6
"294" "Pinasil" "0.184766192649542" 1.7
"295" "Pinasil" "0.174430533740741" 1.8
"296" "Pinasil" "0.164673042534305" 1.9
"297" "Pinasil" "0.155461376835605" 2
"298" "Pinasil" "0.146765003644037" 2.1
"299" "Pinasil" "0.138555097948297" 2.2
"300" "Pinasil" "0.130804447182951" 2.3
"301" "Pinasil" "0.123487361029632" 2.4
"302" "Pinasil" "0.116579586263871" 2.5
"303" "Pinasil" "0.11005822636532" 2.6
"304" "Pinasil" "0.103901665624919" 2.7
"305" "Pinasil" "0.098089497497428" 2.8
"306" "Pinasil" "0.0926024569618677" 2.9
"307" "Pinasil" "0.0874223566656504" 3
"308" "Pinasil" "0.0825320266407544" 3.1
"309" "Pinasil" "0.0779152573921238" 3.2
"310" "Pinasil" "0.0735567461696516" 3.3
"311" "Pinasil" "0.0694420462456626" 3.4
"312" "Pinasil" "0.0655575190297678" 3.5
"313" "Tres_Marias" "830.371811984116" -12
"314" "Tres_Marias" "783.921540464854" -11.9
"315" "Tres_Marias" "740.06965643066" -11.8
"316" "Tres_Marias" "698.670808362554" -11.7
"317" "Tres_Marias" "659.587775578146" -11.6
"318" "Tres_Marias" "622.691013399787" -11.5
"319" "Tres_Marias" "587.858223765572" -11.4
"320" "Tres_Marias" "554.973949860012" -11.3
"321" "Tres_Marias" "523.929193420705" -11.2
"322" "Tres_Marias" "494.621053452527" -11.1
"323" "Tres_Marias" "466.952385151859" -11
"324" "Tres_Marias" "440.831477910266" -10.9
"325" "Tres_Marias" "416.171751330384" -10.8
"326" "Tres_Marias" "392.891468246411" -10.7
"327" "Tres_Marias" "370.913463797969" -10.6
"328" "Tres_Marias" "350.164889659358" -10.5
"329" "Tres_Marias" "330.576972576377" -10.4
"330" "Tres_Marias" "312.084786410402" -10.3
"331" "Tres_Marias" "294.627036934109" -10.2
"332" "Tres_Marias" "278.145858665541" -10.1
"333" "Tres_Marias" "262.586623067091" -10
"334" "Tres_Marias" "247.897757473679" -9.9
"335" "Tres_Marias" "234.030574149917" -9.8
"336" "Tres_Marias" "220.939108909668" -9.7
"337" "Tres_Marias" "208.579968763093" -9.6
"338" "Tres_Marias" "196.912188086176" -9.5
"339" "Tres_Marias" "185.897092836013" -9.4
"340" "Tres_Marias" "175.498172361773" -9.3
"341" "Tres_Marias" "165.680958386433" -9.2
"342" "Tres_Marias" "156.412910758188" -9.1
"343" "Tres_Marias" "147.663309592806" -9
"344" "Tres_Marias" "139.403153449464" -8.9
"345" "Tres_Marias" "131.605063202523" -8.8
"346" "Tres_Marias" "124.243191290638" -8.7
"347" "Tres_Marias" "117.293136042399" -8.6
"348" "Tres_Marias" "110.731860794511" -8.5
"349" "Tres_Marias" "104.537617534437" -8.4
"350" "Tres_Marias" "98.6898748144035" -8.3
"351" "Tres_Marias" "93.1692496978338" -8.2
"352" "Tres_Marias" "87.9574435126391" -8.1
"353" "Tres_Marias" "83.0371811984116" -8
"354" "Tres_Marias" "78.3921540464854" -7.9
"355" "Tres_Marias" "74.0069656430662" -7.8
"356" "Tres_Marias" "69.8670808362552" -7.7
"357" "Tres_Marias" "65.9587775578146" -7.6
"358" "Tres_Marias" "62.2691013399787" -7.5
"359" "Tres_Marias" "58.7858223765572" -7.4
"360" "Tres_Marias" "55.4973949860013" -7.3
"361" "Tres_Marias" "52.3929193420704" -7.2
"362" "Tres_Marias" "49.4621053452527" -7.1
"363" "Tres_Marias" "46.6952385151859" -7
"364" "Tres_Marias" "44.0831477910266" -6.9
"365" "Tres_Marias" "41.6171751330385" -6.8
"366" "Tres_Marias" "39.289146824641" -6.7
"367" "Tres_Marias" "37.0913463797969" -6.6
"368" "Tres_Marias" "35.0164889659358" -6.5
"369" "Tres_Marias" "33.0576972576377" -6.4
"370" "Tres_Marias" "31.2084786410402" -6.3
"371" "Tres_Marias" "29.4627036934109" -6.2
"372" "Tres_Marias" "27.8145858665541" -6.1
"373" "Tres_Marias" "26.2586623067091" -6
"374" "Tres_Marias" "24.7897757473679" -5.9
"375" "Tres_Marias" "23.4030574149917" -5.8
"376" "Tres_Marias" "22.0939108909668" -5.7
"377" "Tres_Marias" "20.8579968763093" -5.6
"378" "Tres_Marias" "19.6912188086176" -5.5
"379" "Tres_Marias" "18.5897092836013" -5.4
"380" "Tres_Marias" "17.5498172361773" -5.3
"381" "Tres_Marias" "16.5680958386433" -5.2
"382" "Tres_Marias" "15.6412910758188" -5.1
"383" "Tres_Marias" "14.7663309592806" -5
"384" "Tres_Marias" "13.9403153449464" -4.9
"385" "Tres_Marias" "13.1605063202523" -4.8
"386" "Tres_Marias" "12.4243191290638" -4.7
"387" "Tres_Marias" "11.7293136042399" -4.6
"388" "Tres_Marias" "11.0731860794511" -4.5
"389" "Tres_Marias" "10.4537617534437" -4.4
"390" "Tres_Marias" "9.86898748144035" -4.3
"391" "Tres_Marias" "9.31692496978338" -4.2
"392" "Tres_Marias" "8.7957443512639" -4.1
"393" "Tres_Marias" "8.30371811984116" -4
"394" "Tres_Marias" "7.83921540464855" -3.9
"395" "Tres_Marias" "7.40069656430661" -3.8
"396" "Tres_Marias" "6.98670808362552" -3.7
"397" "Tres_Marias" "6.59587775578145" -3.6
"398" "Tres_Marias" "6.22691013399787" -3.5
"399" "Tres_Marias" "5.87858223765573" -3.4
"400" "Tres_Marias" "5.54973949860013" -3.3
"401" "Tres_Marias" "5.23929193420704" -3.2
"402" "Tres_Marias" "4.94621053452527" -3.1
"403" "Tres_Marias" "4.66952385151859" -3
"404" "Tres_Marias" "4.40831477910266" -2.9
"405" "Tres_Marias" "4.16171751330384" -2.8
"406" "Tres_Marias" "3.9289146824641" -2.7
"407" "Tres_Marias" "3.70913463797969" -2.6
"408" "Tres_Marias" "3.50164889659358" -2.5
"409" "Tres_Marias" "3.30576972576377" -2.4
"410" "Tres_Marias" "3.12084786410402" -2.3
"411" "Tres_Marias" "2.94627036934109" -2.2
"412" "Tres_Marias" "2.7814585866554" -2.1
"413" "Tres_Marias" "2.62586623067091" -2
"414" "Tres_Marias" "2.47897757473679" -1.9
"415" "Tres_Marias" "2.34030574149917" -1.8
"416" "Tres_Marias" "2.20939108909668" -1.7
"417" "Tres_Marias" "2.08579968763092" -1.6
"418" "Tres_Marias" "1.96912188086176" -1.5
"419" "Tres_Marias" "1.85897092836013" -1.4
"420" "Tres_Marias" "1.75498172361772" -1.3
"421" "Tres_Marias" "1.65680958386433" -1.2
"422" "Tres_Marias" "1.56412910758188" -1.1
"423" "Tres_Marias" "1.47663309592806" -1
"424" "Tres_Marias" "1.39403153449464" -0.899999999999999
"425" "Tres_Marias" "1.31605063202522" -0.799999999999999
"426" "Tres_Marias" "1.24243191290638" -0.699999999999999
"427" "Tres_Marias" "1.17293136042399" -0.6
"428" "Tres_Marias" "1.10731860794511" -0.5
"429" "Tres_Marias" "1.04537617534437" -0.399999999999999
"430" "Tres_Marias" "0.986898748144034" -0.299999999999999
"431" "Tres_Marias" "0.931692496978338" -0.199999999999999
"432" "Tres_Marias" "0.87957443512639" -0.0999999999999996
"433" "Tres_Marias" "0.830371811984116" 0
"434" "Tres_Marias" "0.783921540464854" 0.100000000000001
