Family	Mean log10 weight	Abundance_mean_m2	log_abundance_m2	abundance-1SD	min_log_abundance_m2	abundance+1SD	max_log_abundance_m2	high_log_abundance_m2
Harpacticoida	-5.6	118443	5.073509399	80738	4.907077987	162705	5.211400899	5.49561787
Ostracoda	-6	21418	4.330778914	18108	4.257870486	24932	4.396757118	4.553737429
Tanaidacea	-4.5	7230	3.859138297	6013	3.779091204	8581	3.933537902	3.983626287
Isopoda	-4.7	6621	3.820923588	5405	3.732795698	7973	3.901621764	4.114310677
Cyclopoida	-6.1	4122	3.615107987	3243	3.510946949	4730	3.674861141	3.770262738
Amphipoda	-3.7	3851	3.585573519	3108	3.49248101	4459	3.649237472	4.169409898
Cumacea	-4.5	1486	3.172018809	1216	3.084933575	1689	3.22762965	3.319314304
Decapoda	-1.5	405	2.607455023	270	2.431363764	540	2.73239376	2.916453949
