"Site" "refs" "size"
"160" "Pinasil" "1" -11.7
"161" "Pinasil" "1" -11.6
"162" "Pinasil" "1" -11.5
"163" "Pinasil" "1" -11.4
"164" "Pinasil" "1" -11.3
"165" "Pinasil" "1" -11.2
"166" "Pinasil" "1" -11.1
"167" "Pinasil" "1" -11
"168" "Pinasil" "1" -10.9
"169" "Pinasil" "1" -10.8
"170" "Pinasil" "1" -10.7
"171" "Pinasil" "1" -10.6
"172" "Pinasil" "1" -10.5
"173" "Pinasil" "1" -10.4
"174" "Pinasil" "1" -10.3
"175" "Pinasil" "1" -10.2
"176" "Pinasil" "1" -10.1
"177" "Pinasil" "1" -10
"178" "Pinasil" "1" -9.9
"179" "Pinasil" "1" -9.8
"180" "Pinasil" "1" -9.7
"181" "Pinasil" "1" -9.6
"182" "Pinasil" "1" -9.5
"183" "Pinasil" "1" -9.4
"184" "Pinasil" "1" -9.3
"185" "Pinasil" "1" -9.2
"186" "Pinasil" "1" -9.1
"187" "Pinasil" "1" -9
"188" "Pinasil" "1" -8.9
"189" "Pinasil" "1" -8.8
"190" "Pinasil" "1" -8.7
"191" "Pinasil" "1" -8.6
"192" "Pinasil" "1" -8.5
"193" "Pinasil" "1" -8.4
"194" "Pinasil" "1" -8.3
"195" "Pinasil" "1" -8.2
"196" "Pinasil" "1" -8.1
"197" "Pinasil" "1" -8
"198" "Pinasil" "1" -7.9
"199" "Pinasil" "1" -7.8
"200" "Pinasil" "1" -7.7
"201" "Pinasil" "1" -7.6
"202" "Pinasil" "1" -7.5
"203" "Pinasil" "1" -7.4
"204" "Pinasil" "1" -7.3
"205" "Pinasil" "1" -7.2
"206" "Pinasil" "1" -7.1
"207" "Pinasil" "1" -7
"208" "Pinasil" "1" -6.9
"209" "Pinasil" "1" -6.8
"210" "Pinasil" "1" -6.7
"211" "Pinasil" "1" -6.6
"212" "Pinasil" "1" -6.5
"213" "Pinasil" "1" -6.4
"214" "Pinasil" "1" -6.3
"215" "Pinasil" "1" -6.2
"216" "Pinasil" "1" -6.1
"217" "Pinasil" "1" -6
"218" "Pinasil" "1" -5.9
"219" "Pinasil" "1" -5.8
"220" "Pinasil" "1" -5.7
"221" "Pinasil" "1" -5.6
"222" "Pinasil" "1" -5.5
"223" "Pinasil" "1" -5.4
"224" "Pinasil" "1" -5.3
"225" "Pinasil" "1" -5.2
"226" "Pinasil" "1" -5.1
"227" "Pinasil" "1" -5
"228" "Pinasil" "1" -4.9
"229" "Pinasil" "1" -4.8
"230" "Pinasil" "1" -4.7
"231" "Pinasil" "1" -4.6
"232" "Pinasil" "1" -4.5
"233" "Pinasil" "1" -4.4
"234" "Pinasil" "1" -4.3
"235" "Pinasil" "1" -4.2
"236" "Pinasil" "1" -4.1
"237" "Pinasil" "1" -4
"238" "Pinasil" "1" -3.9
"239" "Pinasil" "1" -3.8
"240" "Pinasil" "1" -3.7
"241" "Pinasil" "1" -3.6
"242" "Pinasil" "1" -3.5
"243" "Pinasil" "1" -3.4
"244" "Pinasil" "1" -3.3
"245" "Pinasil" "1" -3.2
"246" "Pinasil" "1" -3.1
"247" "Pinasil" "1" -3
"248" "Pinasil" "1" -2.9
"249" "Pinasil" "1" -2.8
"250" "Pinasil" "1" -2.7
"251" "Pinasil" "1" -2.6
"252" "Pinasil" "1" -2.5
"253" "Pinasil" "1" -2.4
"254" "Pinasil" "1" -2.3
"255" "Pinasil" "1" -2.2
"256" "Pinasil" "1" -2.1
"257" "Pinasil" "1" -2
"258" "Pinasil" "1" -1.9
"259" "Pinasil" "1" -1.8
"260" "Pinasil" "1" -1.7
"261" "Pinasil" "1" -1.6
"262" "Pinasil" "0" -1.5
"263" "Pinasil" "0" -1.4
"264" "Pinasil" "0" -1.3
"265" "Pinasil" "0" -1.2
"266" "Pinasil" "0" -1.1
"267" "Pinasil" "0" -1
"268" "Pinasil" "0" -0.899999999999999
"269" "Pinasil" "0" -0.799999999999999
"270" "Pinasil" "0" -0.699999999999999
"271" "Pinasil" "0" -0.6
"272" "Pinasil" "0" -0.5
"273" "Pinasil" "0" -0.399999999999999
"274" "Pinasil" "0" -0.299999999999999
"275" "Pinasil" "0" -0.199999999999999
"276" "Pinasil" "0" -0.0999999999999996
"277" "Pinasil" "0" 0
"278" "Pinasil" "0" 0.100000000000001
"279" "Pinasil" "0" 0.200000000000001
"280" "Pinasil" "0" 0.300000000000001
"281" "Pinasil" "0" 0.4
"282" "Pinasil" "0" 0.5
"283" "Pinasil" "0" 0.600000000000001
"284" "Pinasil" "0" 0.700000000000001
"285" "Pinasil" "0" 0.800000000000001
"286" "Pinasil" "0" 0.9
"287" "Pinasil" "0" 1
"288" "Pinasil" "0" 1.1
"289" "Pinasil" "0.830411894296355" 1.2
"290" "Pinasil" "0.642741394255894" 1.3
"291" "Pinasil" "0.267827962330343" 1.4
"292" "Pinasil" "0.164983811835936" 1.5
"293" "Pinasil" "0.103758979191" 1.6
"294" "Pinasil" "0.0380495699284669" 1.7
"295" "Pinasil" "0.0229788598887057" 1.8
"296" "Pinasil" "0.450813992808542" 1.9
"297" "Pinasil" "0.0956881716864101" 2
"298" "Pinasil" "0.0724230566632271" 2.1
"299" "Pinasil" "0.0548226860768301" 2.2
"300" "Pinasil" "0.199055757071468" 2.3
"301" "Pinasil" "0.170111584695165" 2.4
"302" "Pinasil" "0.0199351136052816" 2.5
"303" "Pinasil" "0.00915907068926558" 2.6
"304" "Pinasil" "0" 2.7
"305" "Pinasil" "1" 2.8
"306" "Pinasil" "1" 2.9
"307" "Pinasil" "1" 3
"308" "Pinasil" "1" 3.1
"309" "Pinasil" "1" 3.2
"310" "Pinasil" "1" 3.3
"311" "Pinasil" "1" 3.4
"312" "Pinasil" "1" 3.5
"313" "Tres_Marias" "1" -12
"314" "Tres_Marias" "1" -11.9
"315" "Tres_Marias" "1" -11.8
"316" "Tres_Marias" "1" -11.7
"317" "Tres_Marias" "1" -11.6
"318" "Tres_Marias" "1" -11.5
"319" "Tres_Marias" "1" -11.4
"320" "Tres_Marias" "1" -11.3
"321" "Tres_Marias" "1" -11.2
"322" "Tres_Marias" "1" -11.1
"323" "Tres_Marias" "1" -11
